hhid,hhea,c,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,close,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmt,getbenefit,logc,unob_c,distt_q,pmt_q,c_q,unob_c_q,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
593018,593,628959.5,2155.138,2155.138,3394.532,3761.948,23333.33,0,1.0,0,0.0,171.7391,5,2329.48,8.711562,-0.7913247,-0.1123411,40.21196,-3.331221,-0.5616105,8.021887,-0.7278951,0.0,0.0,899.2936,1250.466,12.99889,0.0,13.351822145692257,0.08947596688956594,1,3,4,2,0.21721132742726926,0.1369020507461927,0.08525585793606234,0.21721132742726926,0.5294997442539249,0.21721132742726926,0.21721132742726926,0.21721132742726926,0.21721132742726926,0.34919042333124956,0.08779391728256591
101023,101,629340.5,3160.304,3160.304,4269.758,4565.146,23333.33,0,1.0,0,0.0,171.7391,5,5520.531,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,579.0699,818.9771,13.37604,0.0,13.352427724666498,-0.19135300070435335,1,3,4,1,0.20819501766126283,0.12904653208280623,0.07282011937848527,0.20819501766126283,0.521593307046329,0.20819501766126283,0.20819501766126283,0.20819501766126283,0.20819501766126283,0.34273004116141725,0.07627128992324271
310004,310,629373.0,7224.389,7492.523,9257.0,9721.714,27777.78,0,0.0,0,0.2,175.9551,3,6993.033,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,175.3272,946.2742,1327.277,12.79854,0.0,13.352479364694204,0.23963712704206586,2,2,4,3,0.28459706605532137,0.22142128798259206,0.17762384818247678,0.283419995594748,0.6116510339399529,0.2757872418728918,0.27380951419032573,0.23021835760854595,0.16801948523109236,0.3905209237237796,0.18072916759690677
242010,242,630296.7,3029.788,3393.384,3050.708,3029.788,19444.44,0,0.0,0,5.0,175.9551,6,3939.354,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,666.6667,839.8655,687.5867,666.6667,12.92173,0.0,13.353945939885401,0.14917762032491844,4,2,4,2,0.19681347008421868,0.10300988406146167,0.044037043783394306,0.19536119514437728,0.41471145425742256,0.19672963668363572,0.19681347008421868,0.18193976323170896,0.16164977967522437,0.28041468348768667,0.11483493818471976
559022,559,630315.5,3001.666,2956.614,4383.783,4858.706,29166.67,0,1.0,1,0.3,125.7222,4,4943.651,8.711562,-0.7913247,0.5789615,40.21196,-3.331221,0.3615767,8.021887,-0.7278951,0.0,46.06893,1080.702,1494.568,12.85738,0.0,13.353975766663218,0.19722630716282197,2,2,4,3,0.3531267599186325,0.30096535736925595,0.2642119425196549,0.3533446205525814,0.6776268500602255,0.3531267599186325,0.3531267599186325,0.3531267599186325,0.3531267599186325,0.43908161495616055,0.2688402700610766
353040,353,631480.2,3250.675,3517.746,4362.389,4737.142,19444.44,0,1.0,1,0.2,125.7222,6,9021.146,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,0.0,-2.831346,735.2864,1026.016,13.21071,0.0,13.355821866361898,-0.06458732623919694,2,3,4,2,0.2015954079200224,0.1075284584054192,0.04983624812368044,0.20052014330276724,0.41320543905690216,0.2015954079200224,0.2015954079200224,0.2015954079200224,0.2015954079200224,0.2783463322090176,0.12633420250215457
237012,237,631613.1,7532.825,7532.825,9313.419,9538.089,29166.67,0,1.0,0,0.0,171.7391,4,10526.89,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,667.3103,910.6671,12.59684,0.0,13.356032302123834,0.39370139429483686,1,2,4,3,0.38589477216865,0.3360823232587888,0.2999088397155755,0.38589477216865,0.6455357623476281,0.38589477216865,0.38589477216865,0.38589477216865,0.38589477216865,0.40880192862867226,0.36343223867022045
216034,216,631915.2,5541.751,5737.678,6707.673,6752.711,37500.0,0,0.0,0,1.0,175.9551,4,6481.182,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,250.0,350.1753,846.6514,1019.349,12.87241,0.0,13.356510486911237,0.18854543352268038,3,2,4,3,0.3566829081219323,0.32748917966147767,0.32207685201660624,0.35580065925764354,0.8309598202125081,0.35145787044004356,0.351257244612639,0.315873015853966,0.26229236938871586,0.5493317632926543,0.16777332564020417
396027,396,632111.9,5310.795,4758.187,6656.448,7665.435,23333.33,0,0.0,1,1.0,175.3095,5,3632.827,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,1292.88,878.8223,2284.47,3073.976,13.05822,0.0,13.356821714418286,0.05020266898987913,3,3,4,2,0.270719311974739,0.19253078367699644,0.13766800110691793,0.2731455909690804,0.5042751630266206,0.26490091473531907,0.26062114321131,0.2527887531055403,0.2281737642042359,0.3277542411672412,0.2147914184449155
336017,336,632829.3,11128.01,12859.42,12934.02,14102.67,38888.89,0,0.0,1,4.0,175.3095,3,4867.918,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,2154.8,3314.966,3470.642,4449.677,13.66709,0.0,13.357955996512848,-0.40301026452991984,4,3,4,1,0.29471306964362287,0.2667880986724784,0.2640035370385241,0.2879537752460591,0.8271430677242431,0.28766534943791183,0.28317729929764,0.2592268911690886,0.21289687810834898,0.5320546227486155,0.061978264846075264
