hhid,hhea,c,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,close,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmt,getbenefit,logc,unob_c,distt_q,pmt_q,c_q,unob_c_q,col2,col3,col4,col5,col6
249031,249,498875.0,7692.309,7692.309,10361.48,12084.59,27777.78,1,1.0,0,0.0,171.7391,3,4988.75,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,1082.967,2184.131,12.62229,0.0,13.120110842351036,0.13878879250915332,1,2,3,2,0.4348947671967414,0.5543735861429177,0.5641812978857093,0.544887764521176,0.6081299580050314
249017,249,499115.1,4810.006,4810.006,6923.814,8452.863,27777.78,0,1.0,0,0.0,171.7391,3,3119.469,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,1081.754,2181.704,13.06371,0.0,13.120592009458068,-0.1901237499055366,1,3,3,1,0.32533776811048926,0.5815374219087079,0.5957678781846952,0.5633542569557711,0.6296268294651812
126002,126,499219.1,2070.904,2070.904,2900.006,3476.267,23333.33,0,1.0,0,0.0,171.7391,5,3617.529,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,402.0668,810.8895,12.42161,0.0,13.120800356523361,0.28922849839644194,1,1,3,3,0.5450320543259557,0.47102514505745713,0.4357547778510518,0.48765564710996,0.5301617239809068
94092,94,499989.5,3628.721,3542.687,4712.713,5404.797,23333.33,0,0.0,0,0.1,175.9551,5,5555.439,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,82.63915,401.6164,809.9886,12.83013,0.0,13.122342377183825,-0.014072755406902004,2,2,3,2,0.32734024330352957,0.4539046290818277,0.4041681975520659,0.47674433135410044,0.5179052818260245
9042,9,500335.3,1326.036,1326.036,1918.47,2350.31,8333.333,1,1.0,0,0.0,171.7391,6,2779.641,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,335.6186,676.8672,12.7143,0.0,13.123033752652622,0.07305256817005024,1,2,3,2,0.1639654562070448,0.048638655001020166,0.0001559357784192279,0.1744272899496572,0.17781597670534974
91038,91,500494.0,4539.572,4539.572,6017.147,6934.766,8333.333,1,1.0,0,0.0,171.7391,6,5888.165,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,541.4835,1092.065,12.86286,0.0,13.123350889653567,-0.037487821643710006,1,2,3,2,0.1309757001812064,0.041505319441639384,0.0001559357784192279,0.161263382766904,0.1635449927518189
473059,473,501293.3,3679.131,3679.131,4733.825,5334.079,23333.33,1,1.0,0,0.0,171.7391,5,6426.837,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,0.0,403.6432,814.0422,12.42845,0.0,13.124946637911929,0.2882706771772252,1,1,3,3,0.4059629627871271,0.45080881823713914,0.4041681975520659,0.47412176987554333,0.5175082827356003
3013,3,501309.5,8588.72,8588.72,11336.9,13026.64,27777.78,1,1.0,0,0.0,171.7391,3,5570.106,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,1084.786,2187.77,13.00239,0.0,13.12497895380014,-0.13997897341296728,1,3,3,2,0.3189014601760679,0.5409076229412473,0.5321794947834358,0.5355675649792098,0.6013538977200378
219006,219,501654.8,4071.143,4071.143,5527.126,6483.692,36666.66,0,1.0,0,0.0,171.7391,5,4400.48,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,650.508,1311.934,13.18849,0.0,13.125667512732182,-0.2781608085319256,1,3,3,1,0.39688389435772625,0.779508762307211,0.8339350575947247,0.7168337219001583,0.82440725717353
292024,292,501910.7,9026.174,9442.881,11048.0,12110.61,36666.66,0,0.0,0,1.0,175.9551,5,8365.179,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,646.44,452.7346,1298.768,1962.014,12.44611,0.0,13.126177494403624,0.27632339740378953,3,1,3,3,0.6366968052962321,0.7397980430595551,0.7664992125283498,0.685488514992557,0.8002273912777257
171010,171,502271.4,2550.198,2871.656,4705.636,5837.92,23333.33,1,1.0,1,0.5,125.7222,5,3487.996,8.711562,-0.7913247,0.1845431,40.21196,-3.331221,0.6020159,8.021887,-0.7278951,0.0,186.9368,1837.235,2850.516,12.55876,1.0,13.126895890032293,0.19298080490862723,3,1,3,3,0.5671360225255183,0.46006945006322425,0.4357547778510518,0.4782505476083421,0.5263937315936211
185027,185,502658.8,3424.073,2337.019,3733.704,3627.738,9722.222,0,0.0,1,5.0,175.3095,12,2754.294,8.711562,-0.7913247,0.1845431,40.21196,-3.331221,0.6020159,8.021887,-0.7278951,2154.8,955.9441,2412.287,2319.14,12.44429,0.0,13.127666888892094,0.279170901065676,4,1,3,3,0.3818258244992646,0.061239205264322534,0.0017758611326550774,0.19228824640571796,0.19091736572853735
